First root.player = true
parent: 0
current.player: false
parent.id = 0, parent.coordinate: {8 8}, parent.value = 0
child.id = 159, child.coordinate: {7 0}, child.value = 244
child.id = 160, child.coordinate: {7 1}, child.value = 6896
child.id = 161, child.coordinate: {7 2}, child.value = 7612
child.id = 162, child.coordinate: {7 3}, child.value = 9231
child.id = 163, child.coordinate: {7 4}, child.value = 8177
child.id = 164, child.coordinate: {7 5}, child.value = 26244
child.id = 165, child.coordinate: {7 6}, child.value = 26244
child.id = 166, child.coordinate: {7 7}, child.value = 19693
child.id = 167, child.coordinate: {7 8}, child.value = 21870
child.id = 168, child.coordinate: {8 0}, child.value = 194
child.id = 169, child.coordinate: {8 1}, child.value = 6965
child.id = 170, child.coordinate: {8 2}, child.value = 7612
child.id = 171, child.coordinate: {8 3}, child.value = 9231
child.id = 172, child.coordinate: {8 4}, child.value = 8042
child.id = 173, child.coordinate: {8 5}, child.value = 21870
child.id = 174, child.coordinate: {8 6}, child.value = 21870
child.id = 175, child.coordinate: {8 7}, child.value = 21870
child.id = 176, child.coordinate: {4 9}, child.value = 14094
child.id = 177, child.coordinate: {4 10}, child.value = 14094
child.id = 178, child.coordinate: {4 11}, child.value = 14094
child.id = 179, child.coordinate: {4 12}, child.value = 12420
child.id = 180, child.coordinate: {5 9}, child.value = 21866
child.id = 181, child.coordinate: {5 10}, child.value = 26244
child.id = 182, child.coordinate: {5 11}, child.value = 21870
child.id = 183, child.coordinate: {5 12}, child.value = 26244
child.id = 184, child.coordinate: {6 9}, child.value = 20409
child.id = 185, child.coordinate: {6 10}, child.value = 21870
child.id = 186, child.coordinate: {6 11}, child.value = 26244
child.id = 187, child.coordinate: {6 12}, child.value = 20409
child.id = 188, child.coordinate: {7 9}, child.value = 15550
child.id = 189, child.coordinate: {7 10}, child.value = 26244
child.id = 190, child.coordinate: {7 11}, child.value = 19924
child.id = 191, child.coordinate: {7 12}, child.value = 26244
child.id = 192, child.coordinate: {8 9}, child.value = 8973341
